"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2017,24,9301,130,160,3.11794,1.3977,1.72025
National,X,2017,25,8455,107,117,2.64932,1.26552,1.3838
National,X,2017,26,7498,94,96,2.53401,1.25367,1.28034
National,X,2017,27,7071,75,79,2.17791,1.06067,1.11724
National,X,2017,28,7394,92,68,2.16392,1.24425,0.919665
National,X,2017,29,7084,87,45,1.86335,1.22812,0.635234
National,X,2017,30,6755,72,50,1.80607,1.06588,0.740192
National,X,2017,31,6725,96,35,1.94796,1.42751,0.520446
National,X,2017,32,6893,76,55,1.90048,1.10257,0.797911
National,X,2017,33,7596,62,40,1.34281,0.816219,0.526593
National,X,2017,34,8160,80,37,1.43382,0.980392,0.453431
National,X,2017,35,9404,120,62,1.93535,1.27605,0.659294
National,X,2017,36,10381,128,68,1.88806,1.23302,0.655043
National,X,2017,37,11602,148,72,1.89622,1.27564,0.620583
National,X,2017,38,12699,137,75,1.66942,1.07883,0.590598
National,X,2017,39,13622,155,77,1.70313,1.13787,0.565262
National,X,2017,40,15410,227,114,2.21285,1.47307,0.739779
National,X,2017,41,16471,247,98,2.09459,1.49961,0.594985
National,X,2017,42,17640,274,109,2.1712,1.55329,0.617914
National,X,2017,43,17826,331,130,2.58611,1.85684,0.729272
National,X,2017,44,20004,504,222,3.62927,2.5195,1.10978
National,X,2017,45,21257,684,247,4.37973,3.21776,1.16197
National,X,2017,46,23775,937,319,5.28286,3.94111,1.34175
National,X,2017,47,23479,1316,339,7.04885,5.60501,1.44384
National,X,2017,48,26828,1513,426,7.22752,5.63963,1.58789
National,X,2017,49,28083,2181,521,9.62148,7.76626,1.85521
National,X,2017,50,35100,4457,815,15.0199,12.698,2.32194
National,X,2017,51,46643,8823,1665,22.4857,18.916,3.56967
National,X,2017,52,53748,11486,1998,25.0874,21.3701,3.71735
National,X,2018,1,61072,12752,2456,24.9018,20.8803,4.02148
National,X,2018,2,67494,14778,3117,26.5135,21.8953,4.61819
National,X,2018,3,66324,14079,3656,26.7399,21.2276,5.51233
National,X,2018,4,79674,16154,5242,26.8544,20.2751,6.57931
National,X,2018,5,80525,14594,6408,26.0813,18.1236,7.95778
National,X,2018,6,79787,13560,7573,26.4868,16.9952,9.49152
National,X,2018,7,73612,10990,7828,25.5638,14.9296,10.6341
National,X,2018,8,58985,6925,6107,22.0938,11.7403,10.3535
National,X,2018,9,46530,4224,4271,18.257,9.07801,9.17902
National,X,2018,10,39608,2800,3354,15.5373,7.06928,8.46799
National,X,2018,11,35523,2297,3227,15.5505,6.46623,9.08426
National,X,2018,12,31798,1923,2870,15.0733,6.04755,9.02572
National,X,2018,13,29263,1649,2761,15.0702,5.6351,9.43512
National,X,2018,14,26235,1107,2206,12.6282,4.21955,8.40861
National,X,2018,15,24285,871,1863,11.258,3.58658,7.6714
National,X,2018,16,20585,575,1373,9.4632,2.7933,6.66991
National,X,2018,17,19753,454,1042,7.57353,2.29839,5.27515
National,X,2018,18,16701,342,706,6.27507,2.04778,4.22729
National,X,2018,19,14640,189,442,4.31011,1.29098,3.01913
National,X,2018,20,12879,172,235,3.16018,1.33551,1.82468
National,X,2018,21,11580,114,158,2.34888,0.984456,1.36442
National,X,2018,22,10655,76,87,1.5298,0.71328,0.816518
National,X,2018,23,10137,73,79,1.49946,0.720134,0.779323
National,X,2018,24,8837,49,65,1.29003,0.554487,0.735544
National,X,2018,25,8353,47,38,1.0176,0.562672,0.454926
National,X,2018,26,7622,56,29,1.11519,0.734715,0.380478
National,X,2018,27,6645,42,24,0.993228,0.632054,0.361174
National,X,2018,28,6785,46,14,0.884304,0.677966,0.206338
National,X,2018,29,6719,51,15,0.982289,0.759042,0.223248
National,X,2018,30,6593,46,18,0.970727,0.69771,0.273017
National,X,2018,31,6068,43,16,0.972314,0.708635,0.263678
National,X,2018,32,6636,41,20,0.919228,0.617842,0.301386
National,X,2018,33,6882,36,18,0.784656,0.523104,0.261552
National,X,2018,34,7564,74,27,1.33527,0.978318,0.356954
National,X,2018,35,8404,99,31,1.54688,1.17801,0.368872
National,X,2018,36,9321,113,50,1.74874,1.21232,0.536423
National,X,2018,37,10963,140,43,1.66925,1.27702,0.392228
National,X,2018,38,9112,37,25,0.680421,0.406058,0.274363
